"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"24.08.2022","5,1114","5,1050","5,1244","5,0802","128,42K","0,15%"
"23.08.2022","5,1037","5,1576","5,1579","5,0700","131,87K","-1,04%"
"22.08.2022","5,1574","5,1706","5,2046","5,1498","123,06K","-0,24%"
"19.08.2022","5,1697","5,1694","5,2199","5,1648","132,82K","0,04%"
"18.08.2022","5,1674","5,1655","5,2074","5,1283","149,11K","0,06%"
"17.08.2022","5,1642","5,1469","5,2144","5,1452","167,02K","0,36%"
"16.08.2022","5,1459","5,0987","5,1549","5,0965","148,45K","0,98%"
"15.08.2022","5,0961","5,0721","5,1409","5,0721","130,15K","0,45%"
"12.08.2022","5,0735","5,1592","5,1649","5,0640","154,88K","-1,64%"
"11.08.2022","5,1581","5,0945","5,1712","5,0605","166,77K","1,28%"
"10.08.2022","5,0927","5,1249","5,1421","5,0342","148,33K","-0,61%"
"09.08.2022","5,1237","5,1129","5,1522","5,0926","122,15K","0,23%"
"08.08.2022","5,1117","5,1638","5,1638","5,1023","130,57K","-1,02%"
"05.08.2022","5,1646","5,2145","5,2782","5,1553","160,22K","-0,99%"
"04.08.2022","5,2164","5,2844","5,2959","5,1986","165,48K","-1,23%"
"03.08.2022","5,2815","5,2796","5,3163","5,2430","139,46K","0,06%"
"02.08.2022","5,2784","5,1856","5,2850","5,1856","188,78K","1,82%"
"01.08.2022","5,1838","5,1759","5,2050","5,1269","165,25K","0,20%"
"29.07.2022","5,1734","5,1842","5,2221","5,1448","165,18K","-0,17%"
"28.07.2022","5,1823","5,2442","5,2740","5,1578","165,07K","-1,16%"
"27.07.2022","5,2432","5,3517","5,3526","5,2372","176,20K","-2,02%"
"26.07.2022","5,3511","5,3576","5,3931","5,3345","172,29K","-0,12%"
"25.07.2022","5,3576","5,4987","5,5010","5,3566","131,71K","-2,53%"
"22.07.2022","5,4968","5,4993","5,5047","5,4349","167,41K","0,00%"
"21.07.2022","5,4968","5,4720","5,5152","5,4289","160,55K","0,46%"
"20.07.2022","5,4714","5,4144","5,4729","5,3889","166,16K","1,07%"
"19.07.2022","5,4135","5,4381","5,4381","5,3646","156,26K","-0,44%"
"18.07.2022","5,4375","5,4092","5,4392","5,3517","144,65K","0,54%"
"15.07.2022","5,4082","5,4239","5,4492","5,3745","161,64K","-0,28%"
"14.07.2022","5,4233","5,3930","5,4906","5,3930","162,28K","0,59%"
"13.07.2022","5,3917","5,4377","5,4667","5,3609","158,35K","-0,83%"
"12.07.2022","5,4368","5,3786","5,4434","5,3695","160,72K","1,09%"
"11.07.2022","5,3782","5,2551","5,3864","5,2551","137,80K","2,37%"
"08.07.2022","5,2536","5,3399","5,3696","5,2501","139,05K","-1,60%"
"07.07.2022","5,3391","5,4299","5,4303","5,3296","126,03K","-1,65%"
"06.07.2022","5,4287","5,3870","5,4627","5,3870","171,59K","0,79%"
"05.07.2022","5,3861","5,3299","5,4043","5,3287","157,06K","1,07%"
"04.07.2022","5,3293","5,3307","5,3352","5,2871","90,87K","-0,03%"
"01.07.2022","5,3310","5,2569","5,3402","5,2527","163,64K","1,42%"
"30.06.2022","5,2562","5,1828","5,2715","5,1779","152,09K","1,44%"
"29.06.2022","5,1818","5,2680","5,2734","5,1754","172,12K","-1,63%"
"28.06.2022","5,2675","5,2387","5,2792","5,1876","170,34K","0,59%"
"27.06.2022","5,2366","5,2423","5,2755","5,2018","127,90K","-0,10%"
"24.06.2022","5,2417","5,2393","5,2763","5,2027","146,38K","0,02%"
"23.06.2022","5,2406","5,1944","5,2477","5,1659","165,48K","0,90%"
"22.06.2022","5,1940","5,1255","5,1962","5,1255","153,13K","1,33%"
"21.06.2022","5,1257","5,1905","5,1910","5,1167","159,30K","-1,20%"
"20.06.2022","5,1880","5,1534","5,1944","5,1361","111,14K","0,70%"
"17.06.2022","5,1518","5,0540","5,1561","5,0540","166,35K","1,95%"
"16.06.2022","5,0535","5,0538","5,0551","5,0538","","0,00%"
"15.06.2022","5,0536","5,1178","5,1350","5,0176","205,38K","-1,24%"
"14.06.2022","5,1168","5,1151","5,1519","5,0859","189,42K","0,03%"
"13.06.2022","5,1154","4,9890","5,1383","4,9890","165,74K","2,58%"
"10.06.2022","4,9865","4,9048","5,0124","4,8815","149,08K","1,63%"
"09.06.2022","4,9063","4,8998","4,9207","4,8648","117,52K","0,15%"
"08.06.2022","4,8988","4,8712","4,9082","4,8450","164,23K","0,60%"
"07.06.2022","4,8696","4,7958","4,9352","4,7913","163,98K","1,57%"
"06.06.2022","4,7945","4,7765","4,8073","4,7467","113,33K","0,44%"
"03.06.2022","4,7734","4,7970","4,8321","4,7715","145,38K","-0,48%"
"02.06.2022","4,7962","4,8169","4,8169","4,7710","131,79K","-0,39%"
"01.06.2022","4,8151","4,7319","4,8180","4,7218","155,81K","1,77%"
"31.05.2022","4,7315","4,7538","4,7793","4,6975","136,07K","-0,44%"
"30.05.2022","4,7526","4,7311","4,7568","4,6904","97,49K","0,49%"
"27.05.2022","4,7295","4,7700","4,7818","4,7147","154,34K","-0,80%"
"26.05.2022","4,7677","4,8260","4,8442","4,7501","146,46K","-1,24%"
"25.05.2022","4,8275","4,8190","4,8644","4,8047","155,93K","0,17%"
"24.05.2022","4,8191","4,8125","4,8548","4,7750","173,82K","0,13%"
"23.05.2022","4,8130","4,8797","4,8797","4,7847","114,67K","-1,35%"
"20.05.2022","4,8788","4,9314","4,9314","4,8519","156,11K","-1,06%"
"19.05.2022","4,9309","4,9688","4,9694","4,8790","138,85K","-0,75%"
"18.05.2022","4,9682","4,9372","5,0005","4,9197","101,92K","0,60%"
"17.05.2022","4,9387","5,0617","5,0617","4,9261","99,97K","-2,40%"
"16.05.2022","5,0599","5,0647","5,1045","5,0307","101,02K","-0,01%"
"13.05.2022","5,0602","5,1347","5,1502","5,0455","87,46K","-1,44%"
"12.05.2022","5,1339","5,1380","5,2102","5,1050","140,21K","-0,07%"
"11.05.2022","5,1373","5,1328","5,1717","5,0910","125,83K","0,12%"
"10.05.2022","5,1313","5,1622","5,1666","5,1090","131,93K","-0,59%"
"09.05.2022","5,1617","5,0784","5,1625","5,0784","132,22K","1,66%"
"06.05.2022","5,0774","5,0293","5,1150","5,0070","158,90K","0,98%"
"05.05.2022","5,0280","4,9200","5,0589","4,9173","147,31K","2,20%"
"04.05.2022","4,9198","4,9563","5,0368","4,8921","129,09K","-0,78%"
"03.05.2022","4,9584","5,0841","5,0841","4,9559","110,69K","-2,49%"
"02.05.2022","5,0848","4,9692","5,0940","4,9657","126,82K","2,27%"
